,REGION,TECHNOLOGY,FUEL,YEAR,value,energy_MWh,DiscountFactor,EnergyDiscounted_MWh
24520,Cuba,PWRHYD02,ELC01,2027,404.5736132679849,404573.61326798494,0.9070294784580498,366960.19344034913
24521,Cuba,PWRHYD02,ELC01,2028,404.57361326798474,404573.61326798477,0.863837598531476,349485.89851461805
24522,Cuba,PWRHYD02,ELC01,2029,404.57361326798485,404573.6132679849,0.8227024747918819,332843.7128710649
24523,Cuba,PWRHYD02,ELC01,2030,404.5736132679847,404573.6132679847,0.7835261664684589,316994.0122581569
24524,Cuba,PWRHYD02,ELC01,2031,404.57361326798485,404573.6132679849,0.7462153966366274,301899.05929348286
24525,Cuba,PWRHYD02,ELC01,2032,404.57361326798474,404573.61326798477,0.7106813301301214,287522.91361284076
24526,Cuba,PWRHYD02,ELC01,2033,404.5736132679847,404573.6132679847,0.676839362028687,273831.3462979435
24527,Cuba,PWRHYD02,ELC01,2034,404.5736132679849,404573.61326798494,0.6446089162177971,260791.75837899398
24528,Cuba,PWRHYD02,ELC01,2035,404.57361326798474,404573.61326798477,0.6139132535407591,248373.10321808935
24529,Cuba,PWRHYD02,ELC01,2036,404.5736132679849,404573.61326798494,0.5846792890864373,236545.81258865664
24530,Cuba,PWRHYD02,ELC01,2037,404.57361326798485,404573.6132679849,0.5568374181775593,225281.72627491105
24531,Cuba,PWRHYD02,ELC01,2038,404.57361326798485,404573.6132679849,0.5303213506452945,214554.0250237248
24532,Cuba,PWRHYD02,ELC01,2039,404.57361326798474,404573.61326798477,0.5050679529955185,204337.16668926162
24533,Cuba,PWRHYD02,ELC01,2040,404.57361326798485,404573.6132679849,0.48101709809097,194606.82541834444
24534,Cuba,PWRHYD02,ELC01,2041,216.23210654798507,216232.10654798508,0.45811152199140004,99058.41943410403
24535,Cuba,PWRHYD02,ELC01,2042,216.23210654798496,216232.10654798496,0.4362966876108571,94341.35184200376
24536,Cuba,PWRHYD02,ELC01,2043,216.23210654798507,216232.10654798508,0.415520654867483,89848.90651619413
24537,Cuba,PWRHYD02,ELC01,2044,38.03038234715046,38030.38234715046,0.39573395701665043,15049.91369309402
24538,Cuba,PWRHYD02,ELC01,2045,43.97133881677555,43971.33881677555,0.3768894828730004,16572.335147888025
